id	x	y
256	15.4	10.1
257	15.45	9.7
258	15.15	9.3
259	15.25	8.65
260	15.55	8.2
261	14.25	8.7
262	14.25	8.25
263	15.05	7.8
264	14.3	7.5
265	13.55	7.45
266	14.3	6.95
267	13.95	6.7
268	13.05	6.95
269	13.05	6.2
270	11.55	6.3
271	10.8	5.85
272	10.6	5.05
273	11.35	5.55
274	12.15	5.4
275	12.4	5.8
276	12.8	5.7
277	13.65	5.9
278	13.9	5.3
279	13.1	5.1
280	12.55	4.9
281	11.5	4.75
282	11.35	4.05
283	12.4	4.35
284	11.75	3.45
285	12.65	3.7
286	13.4	4.35
287	13.9	4.95
288	12.75	3
289	13.55	3.15
290	13.7	3.65
291	14.1	4.1
292	14.65	5.05
293	14.35	5.75
294	14.5	6.55
295	15.15	7.1
296	13.6	2.55
297	14.45	2.4
298	14.6	3.05
299	15	3.4
300	15.25	3.5
301	14.7	4.1
302	14.7	4.5
303	15.25	2.7
304	15.65	2.05
305	15.95	2.8
306	16.1	3.55
307	15.9	4
308	15.6	4.75
309	15.55	5.05
310	15.35	5.5
311	15.15	5.95
312	15.5	6.75
313	15.7	6.35
314	16.2	5.9
315	16.35	5.35
316	16.2	4.55
317	16.55	4.2
318	16.95	4.75
319	17.05	5.1
320	17.3	4.8
321	17.3	4.15
322	17.6	4.3
323	17.05	3.7
324	17.25	3.05
325	16.65	2.8
326	16.55	2.15
327	17.2	2.05
328	18.15	1.95
329	18.05	2.45
330	18.15	3.05
331	18.6	3.45
332	18.4	3.6
333	18.85	3.2
334	19.1	2.65
335	19.45	2.65
336	19	2.1
337	19.9	2.05
338	20.45	2.8
339	19.8	3.25
340	19.45	3.9
341	18.65	4.2
342	18.4	4.6
343	18.65	4.75
344	18.75	5.15
345	19.1	4.55
346	17.9	5.4
347	17.65	5.7
348	17.05	6.05
349	17.4	6.5
350	16.6	6.85
351	15.7	7.15
352	15.75	7.75
353	16.6	7.95
354	20.4	3.4
355	20.7	3.45
356	21.15	2.85
357	21.75	2.65
358	22	3.25
359	22.2	3.5
360	21.45	3.75
361	21.1	4.05
362	20.15	4.3
363	20.8	4.7
364	20.7	5.15
365	19.75	5.05
366	19.85	5.5
367	20.4	5.65
368	20.55	5.75
369	18.7	5.75
370	19.25	5.95
371	18.4	6
372	18.45	6.6
373	17.65	7.05
374	16.7	7.4
375	18.65	7.3
376	18.05	7.35
377	17.85	7.75
378	17.5	8.25
379	17.15	8.6
380	17.05	9
381	16.4	8.7
382	16.05	8.95
383	16.05	9.6
384	16.5	9.75
385	17.25	9.6
386	17.6	9.9
387	17.8	9.3
388	18	8.55
389	18.8	8.1
390	18.8	8.35
391	19.4	7.6
392	19.25	6.6
393	20.05	6.95
394	19.8	7.5
395	20.05	6.35
396	21.15	5.7
397	21.65	4.85
398	22.15	4.35
399	23.05	3.35
400	23.05	3.8
401	23.15	4.4
402	22.5	4.75
403	22.15	5.2
404	24.15	4.55
405	23.5	5.05
406	23.1	5.3
407	23	5.75
408	22.2	5.75
409	21.85	6.2
410	20.75	6.55
411	21	7.15
412	20.75	7.65
413	20	8.2
414	19.5	8.65
415	18.85	9.05
416	18.75	9.55
417	18.6	10
418	16.95	10.35
419	17.35	10.85
420	18	10.65
421	18.5	10.55
422	18.1	11.1
423	17.55	11.3
424	17.95	11.9
425	18.3	12
426	18	12.5
427	19	11.65
428	19.5	11.05
429	19.45	10.55
430	19.4	9.65
431	20.1	9.4
432	20.05	9.95
433	20.05	10.2
434	19.35	12.2
435	19.2	12.25
436	20.05	11.6
437	20.6	11.15
438	20.7	10.65
439	21.3	11.65
440	21.8	11.15
441	21.85	10.7
442	21.65	10.05
443	20.95	10.2
444	20.9	9.7
445	21.65	9.45
446	21.2	9.25
447	20.75	8.75
448	20.55	8.75
449	21.1	8
450	21.65	8.65
451	21.75	8.2
452	21.95	7.55
453	22	6.75
454	22.8	6.45
455	22.65	6.65
456	22.75	7.05
457	23	7.35
458	22.55	7.9
459	22.2	8.7
460	22.9	8.45
461	22.35	9.2
462	22.75	9.35
463	22.4	10.05
464	23.05	10.9
465	23.3	9.85
466	23.95	9.8
467	23.65	9.1
468	23.7	8.85
469	24.25	8.25
470	24.85	7.95
471	23.5	7.85
472	23.85	7.35
473	23.95	6.9
474	23.65	6.5
475	23.6	5.7
476	24.3	5.65
477	24.8	6.4
478	34.05	3.5
479	33.05	3.85
480	32	3.8
481	31.9	4.4
482	31.05	4.75
483	30.4	5.65
484	30.75	6.1
485	30	6.7
486	30.1	7.4
487	29.5	8.15
488	30.75	8
489	30.85	7.35
490	31.5	6.75
491	31.75	5.95
492	32.35	6.45
493	32.8	6
494	32.05	5.1
495	32.8	4.8
496	32.65	4.4
497	33.65	4.6
498	33.05	5.15
499	33.6	5.45
500	34.5	5.05
501	34.9	4.65
502	35.45	4.1
503	34.6	4.05
504	34.2	4.2
505	36.3	5.2
506	35.55	5.35
507	35.95	6.05
508	34.8	5.85
509	33.7	6.15
510	33.95	6.6
511	33.7	7.05
512	32.75	7.1
513	32.3	7.65
514	33	7.9
515	31.95	8.15
516	31.15	8.65
517	30.35	8.85
518	29.85	9
519	30.7	9.15
520	29.7	9.9
521	30.45	9.95
522	30.95	9.85
523	31.8	9.45
524	32.45	8.8
525	33.55	8.6
526	34.35	7.7
527	34.7	8
528	34.6	7.25
529	35	6.8
530	35.5	7.35
531	36.1	7.5
532	36.55	7
533	36	8.2
534	35.35	8.05
535	36.55	8.65
536	36.4	9.1
537	35.5	9.1
538	34.55	8.85
539	35.25	9.4
540	34.4	9.5
541	33.5	9.3
542	33.85	9.8
543	32.5	9.65
544	32.3	10.25
545	33.3	10.3
546	31.6	10.5
547	30.6	10.5
548	30.4	11.1
549	30.9	11.45
550	30.7	11.65
551	30.4	12.05
552	31.2	12
553	31.95	11.35
554	31.65	11.05
555	32.95	11.15
556	32.65	11.7
557	32.25	12.25
558	32.05	12.25
559	31.3	12.7
560	31.95	12.95
561	32.75	13.1
562	33.15	13.2
563	33.1	12.75
564	33.15	12.1
565	34.3	11.75
566	34	10.85
567	34.65	11
568	34.8	10.1
569	35.65	9.85
570	36.35	10
571	35.55	10.75
572	35.8	11.55
573	35.2	11.75
574	34.7	11.75
575	34.95	12.75
576	34.05	12.55
577	34.05	13.05
578	33.25	13.7
579	33.2	14.15
580	33.25	14.7
581	33	15.15
582	32.95	15.65
583	32.6	16.15
584	32.45	16.75
585	32.65	17.05
586	32.75	17.3
587	31.75	17.2
588	31.7	17.65
589	31	17.5
590	31.15	17.9
591	30.45	18.05
592	30.05	18.8
593	30.55	18.8
594	30.5	19.3
595	30.25	19.4
596	29.6	19.85
597	29.15	20.55
598	30.25	20.45
599	30.7	20.05
600	31	19.9
601	31.55	19.65
602	31.5	18.55
603	32.05	18.6
604	31.95	19.1
605	32.6	18.35
606	32.85	17.95
607	33.45	17.45
608	33.7	17
609	34.25	17.35
610	34.3	18.05
611	33.85	18.4
612	33.05	18.85
613	33.25	18.95
614	32.8	19.15
615	32.3	19.85
616	32.8	20
617	31.75	20.25
618	31.75	20.75
619	32.1	21.15
620	31.55	21.6
621	30.65	21.3
622	29.95	21.6
623	29.5	21.6
624	30.35	22.05
625	31.05	22
626	31.55	22.2
627	30.95	22.65
628	30.3	23.1
629	29.6	23.15
630	29.35	22.55
631	29.2	23.85
632	30.75	24
633	30.95	24.15
634	31.45	23.7
635	31.95	23.15
636	32.55	22.05
637	32.6	22.55
638	33.25	22.25
639	33.65	21.9
640	33.5	21.3
641	33.1	20.75
642	33.8	20.4
643	33.85	20
644	34.15	19.3
645	34.85	18.85
646	35.3	18.55
647	35.4	19.35
648	34.55	19.75
649	35.05	20
650	35.95	19.85
651	36.35	20.6
652	35.5	20.55
653	34.45	20.65
654	34.4	21.25
655	35	21.05
656	35.75	21.3
657	35.05	21.5
658	34.6	22.05
659	34.2	21.75
660	36.25	21.95
661	35.7	22.3
662	35.5	22.9
663	35.85	23.25
664	36.3	23.8
665	35.45	24.1
666	34.9	23.5
667	34.2	22.9
668	33.85	23.3
669	33.25	23.35
670	32.45	23.7
671	33.6	23.9
672	34.25	23.95
673	34.25	24.1
674	35.4	24.7
675	35.15	25.3
676	34.4	24.9
677	33.7	24.85
678	32.25	24.45
679	32.5	24.7
680	31.45	24.45
681	31.55	25.2
682	31.05	25
683	30.25	24.3
684	29.8	24.8
685	29.6	25.5
686	29.7	26.05
687	30.5	25.5
688	30.65	26
689	31.25	26.05
690	31.45	26.95
691	30.75	26.9
692	30.65	27.15
693	31.25	27.85
694	31.85	27.75
695	32.7	28.2
696	33.25	27.55
697	32.4	27.1
698	32.15	26.65
699	32.35	25.95
700	32.95	25.5
701	33.85	26.05
702	33.05	26.5
703	33.65	27
704	34.1	27.35
705	34.2	27.95
706	34.65	26.85
707	35.25	26
708	35.7	26.15
709	34.4	25.6
710	21.3	20.8
711	20.15	20.9
712	19.2	21.35
713	19.1	21.85
714	18.45	22.8
715	18.75	22.95
716	19.4	23
717	19.55	22.25
718	19.8	21.85
719	20.5	21.85
720	21.45	21.45
721	21.7	21.9
722	21.4	22.3
723	21	22.6
724	21.15	22.95
725	20.5	22.85
726	19.75	23.65
727	19.2	23.7
728	18.45	24.35
729	20.65	23.85
730	20.65	24.3
731	19.7	24.6
732	20.15	25.05
733	22.15	25.1
734	21.6	24.65
735	21.7	23.8
736	21.9	23.65
737	22.55	23.5
738	22.55	24.3
739	23.3	24.45
740	24.25	24.35
741	23.8	25.25
742	23.4	23.8
743	22.9	23.2
744	22.3	22.8
745	22.2	22.4
746	23.1	21.7
747	22.85	21.9
748	22.65	21.1
749	23.15	22.6
750	24.1	21.9
751	24.7	22.2
752	24.3	22.6
753	24.15	23.3
754	23.9	23.45
755	5.2	2.15
756	6.35	1.95
757	6.75	2.3
758	5.9	2.4
759	5.4	2.7
760	4.85	2.9
761	4.85	3.35
762	5.15	3.45
763	5.7	3.45
764	6.2	3
765	6.2	3.2
766	7.65	2.15
767	7.2	2.75
768	6.75	3.2
769	6.75	3.55
770	6.65	3.8
771	5.8	4
772	4.95	4.05
773	5.1	4.35
774	5.7	4.45
775	5.45	4.85
776	6.7	4.8
777	6.55	5.05
778	7.2	4.9
779	6.2	4.25
780	7.1	4.3
781	7.85	4.5
782	7.6	4.15
783	7.25	3.55
784	7.8	3.35
785	8.05	2.75
786	8.5	3.25
787	8.1	3.55
788	8.15	4
